               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.042916,            0.032447,                   0,             0.52056,             0.65217,             0.62871,             0.37178,            0.038445,            0.014678,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.048862,            0.036692,                   0,             0.80485,             0.71778,             0.78697,             0.43501,            0.035323,            0.015131,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.045107,            0.028603,                   0,             0.49908,             0.73913,             0.56009,             0.24344,            0.047226,             0.01482,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.054306,            0.029103,                   0,             0.49908,             0.73913,             0.56009,             0.24344,            0.047226,             0.01482,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.050175,            0.026183,                   0,              0.5163,             0.69565,             0.67469,             0.31473,            0.037438,             0.01404,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.045601,            0.026285,                   0,             0.68578,             0.66461,             0.66983,             0.49343,            0.039822,            0.013537,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,             0.04696,             0.03737,                   0,             0.43845,             0.65217,             0.55113,             0.26653,            0.040999,            0.013081,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.050553,            0.025306,                   0,             0.43845,             0.65217,             0.55113,             0.26653,            0.040999,            0.013081,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.045664,            0.028047,                   0,              0.6716,             0.71174,             0.76384,             0.43838,            0.036689,             0.01269,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.046135,            0.025516,                   0,             0.52897,              0.6087,             0.56124,             0.27183,            0.040533,            0.013278,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.049009,            0.029248,                   0,             0.71308,             0.86957,             0.78871,             0.48203,            0.034394,            0.012979,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.044508,            0.030241,                   0,             0.71308,             0.86957,             0.78871,             0.48203,            0.034394,            0.012979,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.041229,            0.028162,                   0,             0.70241,             0.82114,             0.70499,              0.4513,            0.034793,             0.01293,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.043029,            0.024775,                   0,             0.63129,             0.65217,             0.71564,             0.34748,            0.046335,            0.013637,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.052094,            0.029221,                   0,             0.94658,             0.86957,             0.85677,             0.65883,            0.031199,            0.012241,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.039926,            0.030087,                   0,             0.94658,             0.86957,             0.85677,             0.65883,            0.031199,            0.012241,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.035615,             0.02371,                   0,             0.76181,             0.69565,             0.69792,             0.48152,            0.035695,            0.011921,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.040552,            0.027749,                   0,             0.49134,             0.86957,             0.66735,             0.48352,            0.036241,              0.0119,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.043717,            0.030238,                   0,             0.55218,             0.86957,             0.71867,             0.37733,            0.038201,             0.01157,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.043828,            0.025424,                   0,             0.55218,             0.86957,             0.71867,             0.37733,            0.038201,             0.01157,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,             0.03824,             0.02429,                   0,             0.89876,             0.86957,             0.84668,             0.58189,            0.029218,            0.011348,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.037984,            0.031645,                   0,             0.59908,             0.86957,             0.69867,             0.45267,            0.039344,            0.011774,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.042804,            0.027166,                   0,             0.81725,             0.77792,             0.80668,             0.53074,            0.033131,            0.011382,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.038683,            0.025376,                   0,             0.81725,             0.77792,             0.80668,             0.53074,            0.033131,            0.011382,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.032507,            0.024935,                   0,             0.76032,             0.86957,             0.82348,             0.53152,            0.028921,            0.011368,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.037958,            0.028061,                   0,             0.93635,             0.86957,             0.86918,             0.49911,            0.034616,            0.011865,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.038635,            0.021729,                   0,             0.77886,             0.82609,             0.78841,             0.45042,             0.03197,            0.011967,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.038094,            0.022647,                   0,             0.77886,             0.82609,             0.78841,             0.45042,             0.03197,            0.011967,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.032712,            0.021499,                   0,              0.9082,             0.86065,             0.87024,             0.57383,            0.026416,            0.011917,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.035786,            0.022492,                   0,             0.94675,             0.86957,             0.87527,             0.49766,            0.031987,            0.012088,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.039382,            0.027254,                   0,             0.90802,             0.86957,             0.87498,             0.53685,            0.030305,            0.011784,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.035906,            0.027092,                   0,             0.90802,             0.86957,             0.87498,             0.53685,            0.030305,            0.011784,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.036553,            0.022375,                   0,             0.94484,             0.86957,             0.87994,             0.62849,            0.026267,            0.011644,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.035238,            0.027061,                   0,             0.86659,             0.86957,             0.85736,             0.55211,              0.0337,            0.011661,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.038979,            0.020175,                   0,             0.94684,             0.86957,             0.87833,             0.59054,            0.028149,            0.011813,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.035509,            0.029108,                   0,             0.94684,             0.86957,             0.87833,             0.59054,            0.028149,            0.011813,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.031952,            0.023574,                   0,             0.94555,             0.86957,             0.87471,             0.65982,            0.026826,            0.011644,                   0,            0.005842,            0.005842,            0.005842
                  86,             0.03239,            0.027035,                   0,             0.90321,             0.86957,             0.87456,             0.57667,            0.029076,              0.0117,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.036214,            0.026188,                   0,             0.81963,             0.86957,             0.85757,             0.59482,            0.027583,            0.012743,                   0,            0.005743,            0.005743,            0.005743
